title,intro,order,votes,ingredientes,url
Pintxos de Morcilla sencillos,,"['1\nQuitamos la piel/tripa que cubren las morcillas y las desmenuzamos en un bol, hasta que quede todo en una masa.', '2\nPodemos ayudarnos de un tenedor para aplastar y mezclar bien toda la morcilla.', '3\nTrituramos las almendras y las echamos en un plato hondo. Añadimos los piñones tambien y mezclamos.', '4\nPonemos un sartén con un dedo de aceite de oliva a fuego medio.', '5\nVamos haciendo bolas de morcilla y las rebozamos en el picado de almendras y los piñones. Lo piñones los podemos pinchar incluso.', '6\nCuando las tengamos todas listas las vamos friendo en la sartén, dándoles la vuelta con cuidado pasado 1 minuto.', '7\nSe desprende algo del rebozado, pero queda suficiente en cada bola.', '8\nLas sacamos sobre papel de cocina absorbente para eliminar el exceso de aceite y las colocamos.']",,"['Aceite de oliva', '2 morcillas de Burgos (o de arroz)', '100 gr de piñones', '100 gr de almendras tostadas sin piel']",https://www.recetasgratis.net/receta-de-pintxos-de-morcilla-sencillos-50320.html
Pintxos de Morcilla con pimientos de piquillo,,"['1\nCubrimos el fondo de una cazuelita con aceite, ponemos a calentar y echamos los dientes de ajo picados.', '2\nCuando estén transparentes, antes de que empiecen a dorarse, añadimos los pimientos del piquillo con su jugo, tapamos la cazuela, y dejamos que se hagan a fuego lento durante 20-30 minutos.', '3\nRemovemos de vez en cuando para que no se peguen pero con suavidad, para que no se rompan.', '4\nCuando los pimientos estén casi listos, quitamos la piel a la morcilla y la desmenuzamos sobre una sartén con un poco de aceite. La cocinamos a fuego medio-alto durante unos 5 minutos o hasta que esté hecha.', '5\nReservamos.', '6\nCortamos la barra de pan al bies para tener una rebanadas más grandes, y las tostamos por ambos lados.', '7\nEntonces, con todos los ingredientes calentitos montamos los pintxos de morcilla con piquillos: colocamos dos pimientos del piquillo sobre cada rebanada, cada uno mirando hacia un lado para que queden más o menos simétricos, después ponemos una cucharada generosa de morcilla encima y ¡listo!']",,"['1 morcilla de Burgos', '3 dientes de ajo', 'Aceite de oliva virgen', '400 gr de pimientos del piquillo enteros', '1 barra de pan']",https://www.recetasgratis.net/receta-de-pintxos-de-morcilla-con-pimientos-de-piquillo-50321.html
Pinxto de revuelto de foie con setas,,"['1\nLimpiar los boletus y saltearlos en el aceite bien caliente , añadir los huevos batidos y cuajarlos fuera del fuego tienen que quedar jugosos.', '2\nPresentarlos en las canastillas de pasta brik y poner una lasca de foie micuit.', '3\nPara finalizar echar unas gotas de caramelo de vinagre de Modena.']",,"['Dos huevos frescos', '150 gramos de foie micuit', 'Dos cucharadas de aceite', '250 gramos de Boletus', 'Caramelo de vinagre de modena', 'Cuatro canastillas de pasta brik', 'Sal maldón']",https://www.recetasgratis.net/receta-de-pinxto-de-revuelto-de-foie-con-setas-50319.html
Pintxo de Magret de pato marinado,,"['1\nLimpiar el magret y marcar por ambos lados.', '2\nHacer una infusión con la salsa de soja, las pieles de naranja, los ajos, el jengibre y la canela.', '3\nDejarlo enfriar bien y, en esa mezcla, marinar el magret algunas horas; envasarlo al vacío con parte de la marinada y cocer en la Roner a 65°C durante 30 minutos.', '4\nRetirar y enfriar.', '5\nCon las manzanas y las ciruelas hacer una compota con muy poco líquido.', '6\nUna vez listo, alinear con canela en polvo y los piñones tostados. Colar la marinada y ligarla hasta obtener una salsa espesa.']",,"['Magret de pato', 'Piel de naranja', 'ajos', 'canela', 'jengibre', 'salsa de soja', 'Manzanas verdes', 'Ciruelas pasas', 'Brotes', 'Piñones', 'Tostadita de pan', 'Para la cerveza de tomate. 1 litro de agua de tomate, 3 hojas de gelatina, sal, pimienta, azúcar.']",https://www.recetasgratis.net/receta-de-pintxo-de-magret-de-pato-marinado-50316.html
Pintxo de Magret de pato con huevo y foie,,"['1\nPara el magret de pato y la salsa:', '2\nHacer unos cortes transversales en la piel del pato, a modo de rejilla (sin llegar a la carne) para que al dorarlo suelte la grasa.', '3\nDorarlo 4 minutos por el lado de la piel primero, y 2 por el otro lado.', '4\nPonerlo en el horno en modo gratinar a 200º durante 4 minutos.', '5\nSacar el magret y reservar en papel de aluminio.', '6\nEn la bandeja de horno, añadir media copa de vino, media copa de pedro ximenez, 1 cucharada de vinagre de módena.', '7\nRecoger la salsa y colocarla en un cazo donde añadimos medio vaso de agua.', '8\nMantendremos a fuego hasta reducir a espesor de salsa.', '9\nPara la espuma de foie:Dejar templar el foie-gras fuera del frigorífico a temperatura ambiente. Retirar cuidadosamente los nervios centrales.', '10\nCalentar el caldo en un cazo hasta que arranque el hervor. Con el caldo bien caliente verterlo sobre el foie-gras y triturar rápidamente hasta obtener una crema bien fina.', '11\nSazonar con sal y pimienta, pasar por un colador fino y dejar enfriar.', '12\nLlenar el sifón, enroscar la cápsula y agitar. Dejar reposar en el frigorífico.', '13\nPara el puré de manzana:Pela las manzanas y retirales el corazón.', '14\nCórtalas en trozos y colócalas en una cazuela. Añade el azúcar, el vino blanco, el zumo de limón y la mantequilla.', '15\nDeja cocer a fuego suave y con la cazuela tapada hasta que las manzanas estén tiernas.', '16\nPor último, aplasta con un tenedor y ya tendremos el puré.', '17\nPara las patatas paja:Cortar las patatas con una mandolina, o manualmente cortando en rodajas finas y luego en tiras finas.', '18\nMantenerlas en agua para que suelten el almidón. Freír en abundante aceite.', '19\nAdemásFreir el huevo de codorniz. Como siempre, con la punta de un chuchillo romper la parte superior del huevo y luego echarlo al aceite con cuidado.']",,"['Patatas', '6 huevos de codorniz', '1 cuchara de vinagre de módena', '1 magret (unos 400g)', '1/2 copa de vino.', '1/2 copa de pedro ximenez', '100 gr. de foie-gras fresco de pato', '1 sifón (1/2 litro)', '200 gr. de caldo de ave', 'sal', 'pimienta', '1 cápsula de N2O', '* Puede sustituirse el foie-gras fresco por terrina de', 'foie-gras elaborada', '1 cucharada de zumo de limón', '3 cucharadas de azúcar', '4 manzanas reineta', '3 cucharadas de vino blanco', '1 cucharada de mantequilla']",https://www.recetasgratis.net/receta-de-pintxo-de-magret-de-pato-con-huevo-y-foie-50315.html
Original Pintxo de Kokotxa de bacalao,,"['1\nEscurre bien las cocochas y sécalas poniéndolas sobre un paño limpio y apretando un poco.', '2\nEn una sartén grande pon el aceite a fuego lento. Echa ajos laminados y cuando empiecen a dorarse, sácalos con una espumadera y resérvalos en un plato.', '3\nColoca las cocochas en la sartén con la piel hacia arriba. Déjalas que se hagan durante un par de minunos y retira la sartén del fuego. Mueve la sartén en círculos para que las cocochas vayan soltando su gelatina y la salsa espese.', '4\nPon la sartén de nuevo al fuego y añáde las láminas de ajo que tienes reservadas en el plato.', '5\nDale la vuelta a las cocochas. Deja que se cocinen otro para de minutos y vuelve a retirar la sartén del fuego. Mueve la sartén en círculos para que terminen de soltar la gelatina.', '6\nPon de nuevo la sartén al fuego y echa la cayena y las tiras de pimiento.', '7\nDéjalas otro para de minutos. La salsa debe estar blanquecina y bien ligada.', '8\nSi no es así, vuelve a retirar la sartén del fuego y a moverla en cículos.', '9\nPuedes servir las cocochas en unas cazuelitas o en forma de tapa.']",,"['800 g de cocochas de bacalao desaladas', '1 Pimiento del piquillo asado y pelado, cortado en tiras pequeñas', '10 cucharadas de AOVE (aceite de oliva virgen extra)', '1 o 2 cayenas', '4 dientes de ajo cortados en láminas']",https://www.recetasgratis.net/receta-de-original-pintxo-de-kokotxa-de-bacalao-50314.html
Pintxo de hamburguesitas,,"['1\nCogemos todos los ingredientes y los mezclamos bien, salpimentamos a gusto y metemos en la nevera.', '2\nLos panecillos pueden comprarlos o hacerlos ustedes mismos.', '3\nLo siguiente es dar la forma al preparado de carne para las mini hamburguesas, para eso limpiándonos bien las manos, vamos cogiendo un puñado de carne y le vamos dando forma.', '4\nPonemos una sartén a fuego medio alto y con un poco de aceite las vamos haciendo.', '5\nLos ingredientes que le echéis a las hamburguesas os lo dejo a vuestra elección, las mías llevan lechuga, tomate cherry en finas rodajas y una rodaja de cebolleta con el mismo diámetro que el pan, ¡¡¡¡ ay !!!! que se me olvidaba, también llevan una loncha de queso cada unidad.']",,"['500 g de carne de ternera picada', '1 huevo', '2 dientes de ajo bien picado', 'perejil fresco picado', 'pimienta', 'pan rallado', 'sal']",https://www.recetasgratis.net/receta-de-pintxo-de-hamburguesitas-50310.html
Pintxo de hamburguesa de carne especial,,"['1\nPrimero ponemos las lonchas de bacon en una plancha de silpat y metemos al horno durante 30 minutos.', '2\nPor otro lado, cortamos la cebolla en juliana y la pochamos durante 20 minutos.', '3\nEn una sartén, echamos una cucharada de azúcar moreno y cuando caramelice la disolvemos con zumo de naranja y la salsa perrins, el ketchup y la esencia de humo y reservamos.', '4\nMezclamos la carne picada con el parmesano rallado y el bacon triturado, y hacemos unas pequeñas hamburguesas.', '5\nHacemos en la sartén, y montamos el pintxo con el resto de los ingredientes.']",,"['Carne de ternera picada', 'Azúcar moreno', 'Cebolla', 'Bacon', 'Salsa perrins', 'Sal maldon', 'Ketchup', 'Zumo de naranja', 'Queso parmesano']",https://www.recetasgratis.net/receta-de-pintxo-de-hamburguesa-de-carne-especial-50311.html
Pintxos de foie con cebollas confitadas,,"['1\nEl Foie Gras será solo parte de uno, y lo ideal es elegir un lóbulo pequeño entero, para poder trocearlo en lonchas de 1 cm. de grosor no muy grandes.', '2\nLo aliñamos con sal y pimienta y lo dejamos reposar (y templar) hasta la hora de hacerlo.', '3\nEn un cacito ponemos el vino blanco, un chorrito de aceite, y llevamos a cocer suavemente las cebollitas francesas enteras, aderezado todo ello con una cucharada de azúcar moreno y una pizca de sal.', '4\nLas dejamos hasta que estén tiernas, al menos media hora, pero posiblemente hasta 1 hora o más. Si se reduce el vino y no cubre enteras las cebollitas no importa, pero habrá que darles vueltas de vez en cuando.', '5\nLa patata la rallamos con un rallador de los que sacan hilitos finos, la aclaramos y secamos bien.', '6\nLuego la freímos en la freidora a fuego fuerte hasta que se dore bien. No importa que se apelmaze un poco pues luego usaremos montoncitos.', '7\nLa salamos y reservamos.', '8\nA la hora de comer coincidirá que ya tenemos todo lo anterior hecho, y solamente nos falta hacer el Foie y preparar el resto para el montaje.', '9\nCortamos las cebollitas en cuartos y -si no estaban calientes- ponemos a templar en el microondas.', '10\nCalentamos bien la plancha, luego untamos ligeramente de aceite y bajamos a fuego medio.', '11\nHacemos los filetes de foie gras vuelta y vuelta, los sacamos a papel absorbente y aderezamos con un poco de sal Maldon triturada y pimienta negra recién molida.', '12\nFinalmente montamos (opcionalmente sobre una rodajita de pan) los pinchos.']",,"['200 gr. Foie Gras crudo', 'aceite de oliva virgen', '200 cc. vino blanco', 'sal', 'pimienta', 'azucar moreno', '1 patata mediana', '4 cebollitas francesas']",https://www.recetasgratis.net/receta-de-pintxos-de-foie-con-cebollas-confitadas-50309.html
Pintxos de Espinacas con pollo a la salsa de queso azul,,"['1\nEmpezamos escaldando las espinacas. Si son congeladas seguiremos las instrucciones del fabricante y, si son frescas, las sumergiremos en agua hirviendo durante 30 minutos.', '2\nPasado ese tiempo las sacaremos, las pasaremos por agua fría, escurriremos bien y reservaremos.', '3\nPartimos las pechugas de pollo en daditos del tamaño que queramos hacer para las brochetas y los aliñamos con aceite de oliva, ajo en especia, perejil picado y sal.', '4\nAhora montamos las brochetas alternando los dados de pollo con manojitos de espinacas cocidas.', '5\nSi utilizamos pinchos de madera largos repetiremos un par de veces esta secuencia y, si lo hacemos con palillos, serán uno de cada por palillo.', '6\nDebemos tener en cuenta que es recomendable no apretarlos mucho, así se harán más rápidamente.', '7\nPara cocinar las brochetas podemos utilizar una plancha, la sartén o el horno.', '8\nDe cualquiera de las formas las haremos sobre unas gotitas de aceite y les daremos vueltas hasta que estén tiernas por todos sus lados.', '9\nFinalmente, la crema de queso azul. En una cazuela derretimos el queso a fuego suave, le vamos añadiendo nata y removiendo hasta que quede una salsa consistente.', '10\nAdemás, espolvoreamos una pizca de nuez moscada, le dará un sabor muy especial.']",,"['2 pechugas de pollo enteras', 'Perejil picado', 'Aceite de oliva', 'Pinchos de madera o palillos', 'Ajo en especia', 'Sal', '100 gramos de espinacas cortadas (frescas o congeladas)', '100 gr de migas de queso azul (Cabrales, La Fueya, Roquefort...)', 'Nuez moscada molida', '125 ml de nata para cocinar']",https://www.recetasgratis.net/receta-de-pintxos-de-espinacas-con-pollo-a-la-salsa-de-queso-azul-50308.html
Deliciosos Pintxos de espárragos con langostinos,,"['1\nLo primero, cocemos los espárragos en abundante agua con sal hasta que estén al dente. Cuando estén cocidos, los enfriamos en agua con hielo.', '2\nLos cortamos dejando las puntas y reservamos.', '3\nA continuación, cocemos los langostinos en abundante agua con sal. Al igual que los espárragos, los enfriamos en agua con hielo y los pelamos.', '4\nLuego, realizamos brochetas con una punta de espárrago y un langostino por encima.', '5\nSeguidamente, preparamos una vinagreta francesa en un bol mezclando mostaza, un chorrito de vinagre y el aceite de girasol en forma de hilo, hasta que consigamos una emulsión. Salpimentamos al gusto.', '6\nServimos las brochetas con la vinagreta.']",,"['6 Langostinos crudos', '1 cucharada de mostaza de Dijón', '6 Espárragos trigueros', '1 chorrito de vinagre de jerez', 'Sal', '6 palillos de brochetas', 'Aceite de girasol']",https://www.recetasgratis.net/receta-de-deliciosos-pintxos-de-esparragos-con-langostinos-50304.html
Pintxo de escalivada y ventresca,,"['1\nEncendemos el horno, calor arriba y abajo (solera y grill) a 190º.', '2\nLavamos y secamos los pimientos y la berenjena. Pelamos la cebolla.', '3\nUntamos los pimientos con aceite y les echamos sal, los ponemos en la bandeja del horno.', '4\nQuitamos el extremo de la berenjena, la cortamos por la mitad a lo largo, hacemos unos cortes en forma de rombos sin profundizar en exceso, untamos de aceite y sal y la ponemos en la bandeja con la piel hacia abajo.', '5\nPartimos la cebolla la untamos de aceite y sal y la ponemos también en la bandeja.', '6\nMetemos en el horno a media altura. Durante el asado, a los pimientos los daremos unas vueltas con cuidado de no quemarnos , para que se hagan bien por todos los lados.', '7\nLa berenjena y la cebolla no hace falta moverlas.', '8\nYo he tenido la berenjena y la cebolla 50 minutos y los pimientos una hora, pero se trata de ir vigilando hasta que veais que está hecho.', '9\nSacamos en un plato la berenjena y la cebolla y en otro plato los pimientos. Tapamos todo con papel de aluminio y dejamos enfriar.', '10\nCuando está frio pelamos los pimientos y los partimos en tiras, sacamos la pulpa de la berenjena con una cuchara y la partimos en tiras, para esta preparación no utilizo la piel, partimos la cebolla en juliana (a lo largo).', '11\nPonemos todo en un bol . Echamos sal y mezclamos.', '12\nTampoco utilizo el líquido que han soltado los pimientos.', '13\nAhora, en otro bol, echamos seis cucharadas soperas de aceite de oliva virgen extra, dos cucharadas soperas de vinagre, una pizca de sal y emulsionamos mezclando manualmente con una varilla.', '14\nAñadimos la vinagreta a las verduras, mezclamos bien, rectificamos de sal , tapamos con un film transparente y lo metemos en el frigorífico hasta el día siguiente.', '15\nCuando vayamos a preparar los pinchos lo sacamos del frigorífico unas dos horas antes.', '16\nPartimos unas rebanadas de pan, las tostamos un poquito, ponemos la escalivada, un trozo de ventresca , una aceituna negra y listo para llevar a la mesa.']",,"['1 lata de ventresca en aceite de oliva', 'Una berenjena (pesaba 370 grs,)', '1 cebolla (pesaba 250 grs.)', 'Dos pimientos rojos ó tres si son más pequeños', 'Vinagre', '1 lata de aceitunas negras deshuesadas', 'Sal', 'Aceite de oliva virgen extra', 'Pan']",https://www.recetasgratis.net/receta-de-pintxo-de-escalivada-y-ventresca-50302.html
Pintxo de escalivada con anchoas frescas,,"['1\nPonemos en una bandeja de horno el pimiento y la berenjena con sal gorda, aceite. Al lado la cebolla pelada envuelta en papel albal con sal fina y un poco de aceite.', '2\nSe deja en el horno durante 45 minutos a 180ºC.', '3\nCuando se retira del horno se tapa con un paño durante 10 minutos, así se retirará más fácilmente la piel después.', '4\nMientras se hacen taquitos pequeños con el tomate y se le añade aceite y vinagre de módena (lo normal es poner cualquier otro vinagre pero me gusta tanto ésta que la pongo en todas partes...). Finalmente se añade el cebollino picado.', '5\nSe pela el pimiento, la berenjena y la cebolla. Se hace tiras con las manos y se van colocando en una fuente o plato.', '6\nSe mezclan las verduras con la vinagreta de tomate.', '7\nPasamos por la sartén las rebanadas de pan con un poquito de aceite.Y se coloca la escalibada sobre el pan.', '8\nY por fin, ponemos el toque final: la anchoa.']",,"['1 Pimiento Rojo', '1 Berenjena', '1 Cebolla', 'Sal', '4 Rebanadas de Pan de Centeno', 'Aceite de Oliva Virgen Extra', 'Vinagre de Módena', '4 Anchoas en aceite', '1 Tomate maduro', 'Cebollino']",https://www.recetasgratis.net/receta-de-pintxo-de-escalivada-con-anchoas-frescas-50301.html
Pincho de dátil relleno de almendra,,"['1\nPon aceite en una sartén para freir las almendras.', '2\nPon las almendras y friélas. Saca y pon en un plato con papel de cocina para que escurran el aceite que les sobra y reserva.', '3\nCoge los dátiles sin hueso e introduce dentro de ellos una almendra frita, tal como ves en la foto.', '4\nCoge una cortada de bacon y envuelve el dátil relleno con la almendra y cierra con un palillo.', '5\nPon aceite a calentar en una sartén y fríe los dátiles enrrollados en bacon.', '6\nCuando ya estén fritos ponlos en un plato con papel de cocina para escurrir el aceite.']",,"['12 cortadas de bacon finas', 'Aceite de oliva', 'Palillos para envolver el dátil con el bacon', '12 unidades de almendras crudas', '12 dátiles de dátiles sin hueso']",https://www.recetasgratis.net/receta-de-pincho-de-datil-relleno-de-almendra-50299.html
