title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Rellenos de papa,,"['1\n1-Hierve las papas en el agua y sal a su gusto, por 20 minutos.', '2\n2-Escúrrelas, májalas y añade la mantequilla, el huevo, la maizena y la 1/2 cucharadita de sal.', '3\n3-Mezcla y deja reposar en la nevera hasta enfriar.', '4\n4-Divide la mezcla de papa en 10 partes.', '5\n5-Cubre bien las palmas de la mano con maizena.', '6\n6-Extiende sobre ésta una parte de la mezcla.', '7\n7-Presiona el centro con los dedos para formar un hueco.', '8\n8-Coloca un poco del relleno y cúbrelo con la mezcla.', '9\n9-Para evitar que la mezcla se te pegue a las mano empolvorea tus manos con maizena las veces que sea necesario.', '10\n10-Fríe en abundante aceite vegetal hasta que los rellenos queden dorados.']","Valoración: 4,4 (24 votos)",,,,,,,"['2 libras de papas', '8 tazas de agua', '4 cucharadas de mantequilla', '1/2 cucharadita de sal', '1 huevo', '1 cucharada de maizena', 'Carne, pollo o cualquier otro relleno de su gusto, ya preparado']",https://www.recetasgratis.net/receta-de-rellenos-de-papa-6686.html
Repollo con jamón,,"['1\nHervir la pasta antes de la preparación o mientras se la está haciendo.', '2\nCortar el jamón en tiras largas y el repollo y las cebollas también en tiras.', '3\nEn una sartén antiadherente con un poco de aceite de oliva colocar el jamón y la cebolla y rehogar unos minutos.', '4\nIncorporar después el repollo.', '5\nAñadir dos ctas. de jugo de limón, dos cdas de caldo y otras dos de salsa de soja.', '6\nSalpimentar e incorporar la pasta hervida al dente y los rabanitos.', '7\nDar un hervor a todo y espolvorear con perejil.']","Valoración: 4,1 (10 votos)",,,,,,,"['6 rodajas de jamón cocido', '1/2 repollo chico', '2 cebollas', '2 cdas de caldo', '2 cdas de salsa de soja', '200 grs. de pasta integral', '1 manojo de rabanitos en trocitos', '2 cdas. de aceite de oliva', 'Perejil picado', 'Jugo de 1 limón']",https://www.recetasgratis.net/receta-de-repollo-con-jamon-6617.html
Pastel de vegetales,,"['1\nSe cortan todos los vegetales en cubitos, mas el tomate, cebolla, celeri, pimentón, ajo, se le agrega el oregano la sal y el aceite.', '2\nSe coloca en una olla a sofreir por espacio de 10 minuto y se retira del fuego.', '3\nLuego se prepara la leche y la harina y se la agrega revolver y colocarla en un refractario se le agrega el queso a su gusto tapándolo con papel aluminio.', '4\nSe lleva al horno por espacio de 10 minutos a 250 gdos.', '5\nLuego se retira el papel aluminio y se coloca el horno a gratinar a su preferencia.']","Valoración: 4,4 (16 votos)",,,,,,,"['2 calabacines', '1 verengena grande', '2 zanahorias', '1 ramita de celeri', '1-3 ramitas de cilantro', '1/4 repollo', '2 dientes de ajos', '2 tomates', '1/2 pimentón', '3 cucharaditas de oregano', '1 cebolla mediana', 'Queso parmesano o pecorino al gusto', 'Sal al gusto', '1/2 vaso de leche', '2 cucharadas de harina.', '3 cucharadas de aceite de oliva o vegetal']",https://www.recetasgratis.net/receta-de-pastel-de-vegetales-6613.html
Patatas al vapor con hierbas lékué,Esta es una forma muy sana de hacer unas patatas que serán un buen acompañamiento para cualquier plato de carne o pescado. Verás en esta receta como con la lékué puedes hacer cosas muy fáciles y rápidas.,"['1\nPreparamos todos los ingredientes para hacer las patatas al vapor con hierbas a la lékué.Los envases lékué, son envases plásticos especiales para cocinar en microondas. Estos moldes generan una cocción al vapor que mantiene todo los jugos y nutrientes de los alimentos, característica que los ha vuelto bastante famosos en los últimos años.', '2\nAntes de empezar a cocinar, lavamos, pelamos y troceamos las patatas. Cuando las tengamos a punto, las colocamos en remojo para que suelten el almidón y no se peguen durante la cocción.', '3\nPasados unos minutos, escurrimos bien las patatas y las colocamos en el molde lékué.', '4\nEmpezamos a sazonar añadiendo el aceite.', '5\nA continuación añadimos el vinagre.', '6\nY por último le damos un toque de sal y perejil picado.', '7\nYa para terminar, cocinamos las patatas al vapor metiendo el molde en el microondas, programando 15 minutos a potencia máxima.', '8\nPasado este tiempo, sacamos y esperamos unos segundos antes de abrir para servir.Las patatas al vapor con hierbas con lékué es un plato sencillo y una forma ideal de usar el microondas para cocinar. Y si quieres seguir mirando recetas fáciles con patatas, aquí tienes la preparación paso a paso de patatas a lo pobre.']","Valoración: 2,3 (4 votos)",2 comensales,15m,Acompañamiento,Dificultad baja,,['Recetas al microondas'],"['3 unidades de Patatas medianas', '1 pizca de Sal', '3 cucharadas de postre de Vinagre', '1 cucharada sopera de Aceite de girasol', '1 pizca de Pereji seco picado']",https://www.recetasgratis.net/receta-de-patatas-al-vapor-con-hierbas-lekue-51448.html
Fresh broccoli soup,,"['1\nIn a medium sauce pan over medium heat, saute onion in butter until onion is limp.Add chicken broth and broccoli. bring to boil tehn reduce heat,cover and simmer 10 mints.', '2\nPlace broccoli,onion and broth in blender jar,add milk salt and pepper.remove fillercap to allowsteam to escape.', '3\nBlen on high speed for 5 second.turn blender OFF check for consistency.', '4\nFor a smooth texture replace cover and blend in high speed for 10 seconds pour soup back in pan to reheat.']","Valoración: 3,3 (3 votos)",,,,,,,"['2 tbs butter', '1 small onion cut in quarters', '2 cups of broccoli cut in big chunks', '1 1/2 cups of chicken broth', '1 cup of milk', '1/4 tsp salt', '1/4 tsp pepper']",https://www.recetasgratis.net/receta-de-fresh-broccoli-soup-6448.html
Pimientos verdes con arroz y nueces,,"['1\nFríe en una sartén mediana a fuego medio la cebolla y el ajo durante 10 minutos, para que se ablande la cebolla.', '2\nAñade el arroz y la mitad del zumo de tomate.', '3\nCuécelo muy despacio con la sartén tapada hasta que esté cocido el arroz, entre 30 y 40 minutos.', '4\nMientras tanto, corta el extremo del tallo de los pimientos, vacíalos de semillas y enjuágalos.', '5\nCalienta el horno a 180C.', '6\nLlena un cazo con agua y ponla a ebullición, entonces sumerge los pimientos durante 1 minuto.', '7\nEscúrrelos y enfríalos con agua fría.', '8\nAñade a la mezcla las nueces y la albahaca.', '9\nSazona con sal y pimienta.', '10\nA continuación rellena los pimientos con la mezcla y ponlos en una fuente untada con un poco de aceite.', '11\nRalla el queso sobre los pimientos.', '12\nEcha el resto de zumo de tomate en torno a los pimientos.', '13\nAñade la hoja de laurel.', '14\nTapa la bandeja y hornea durante 30 minutos.', '15\nLos últimos 10 minutos quítale la tapa y deja que se gratine.']","Valoración: 4,6 (12 votos)",,,,,,,"['4 pimientos verdes medianos', '1 cebolla mediana picada', '1 diente de ajo machacado', '2 cucharadas de aceite', '50 gramos de arroz', '400 ml de zumo de tomate', '1 hoja de laurel', '100 gramos de nueces peladas y picadas', '1 cucharadita de albahaca fresca picada', 'Pimienta negra molida', '100 gramos de queso gallego o de bola cremoso']",https://www.recetasgratis.net/receta-de-pimientos-verdes-con-arroz-y-nueces-6371.html
Guineos en escabeche,,"['1\nSe cocinan los guineos verdes y también se ponen a cocinar las mollejas hasta que estén blanditas.', '2\nDespués de cocinados se pican en pedacitos, tanto los guineos como las mollejas. Luego, en una olla, se cocinan las cebollas picaditas en ruedas, pimiento verde y morrón, aceitunas y las hojas de laurel.', '3\nAceite y vinagre luego después de cocinados se le añade los guineos y las mollejas.']","Valoración: 4,6 (11 votos)",2 comensales,30m,Entrante,Dificultad baja,,[],"['6 unidades de Guineos verdes', 'Mollejas', '1 unidad de Cebolla', '1 puñado de Aceitunas', '2 unidades de Pimiento morrón', '1 unidad de Pimiento verde', '2 hojas de Laurel', '1 pizca de Pimienta', 'Vinagre', '1 chorro de Aceite']",https://www.recetasgratis.net/receta-de-guineos-en-escabeche-6347.html
Rollo de espinacas con queso ricotta facil,,"['1\nPrecalentar el horno a 200º C Engrasar una bandeja para horno de unos 15 x 20 cm. Aproximadamente y espolvorearla generosamente con la mitad del queso parmesano. Con la ayuda de un tenedor, escurrir el agua de las espinacas cocidas, y triturarlas. Ponerlas en una cazuela con la mantequilla y rehogarlas suavemente hasta que estén calientes.', '2\nRetirar la cazuela del fuego y añadir las yemas de los huevos, mezclándolas con las espinacas hasta que queden bien incorporadas. Batir las claras hasta que estén espumosas –no es necesario que lleguen a punto de nieve- y añadirlas a las espinacas. Sazonar la mezcla con sal, pimienta y nuez moscada.', '3\nDisponer las espinacas sobre la bandeja de horno, haciendo que la masa quede algo separada de los bordes y alisándola con el reverso de una cuchara. Asar durante unos 15 o 20 minutos, hasta que la masa haya subido, esté dorada por los bordes y cuajada en el centro. Poner un paño de cocina sobre la mesa de trabajo. Cubrirlo con papel antiadherente de cocina y espolvorear sobre él el resto del queso parmesano.', '4\nVolcar la masa de espinacas sobre el papel y dejar que se enfríe completamente. Esparcir por encima el queso ricotta. Enrollar la masa, a partir de uno de los lados más largos. Recortar los bordes con un cuchillo afilado. Si el rollo se sirve frío, ponerlo en una bandeja de servir. Si se sirve caliente, ponerlo en una bandeja de horno y calentarlo durante 5 o 10 minutos.']","Valoración: 4,1 (7 votos)",,,,,,,"['4-6 cucharadas de queso parmesano rallado', '500 g de espinacas frescas', '250 g de espinacas congeladas, cocinadas y escurridas', '2 cucharadas de mantequilla', '4 huevos', 'Sal', 'Pimienta negra recién molida', 'Nuez moscada recién molida', '1 taza de queso ricotta']",https://www.recetasgratis.net/receta-de-rollo-de-espinacas-con-queso-ricotta-facil-1731.html
Palta rellena con pollo,,"['1\nSancochar la pechuga.', '2\nEn el mismo caldo del pollo, cocer la papa, la zanahoria y las arvejas.', '3\nDeshilachar la pechuga en un recipiente, añadirle la zanahoria y las papas sancochadas cortadas a cuadritos, aderezar con aceite, sal, pimienta y vinagre.', '4\nCortar la cebolla (a lo largo) y dejarla remojar en agua.', '5\nCortar la palta por la mitad y pelar con cuidado para no romperla.', '6\nRellenar la palta con el preparado del recipiente.', '7\nEsparcirle la cebolla y decorar con las arvejas y el perejil.']","Valoración: 4,2 (36 votos)",,,,,,,"['1 palta', '1 pechuga de pollo', '1 zanahoria', '1 cebolla', '2 papas blancas', '100 gramos de arvejas', 'vinagre', 'aceite', 'perejil', 'sal', 'pimienta']",https://www.recetasgratis.net/receta-de-palta-rellena-con-pollo-75.html
Alcachofas glaseadas,,"['1\nPrepararemos los fondos de alcachofa: Empezaremos cortando los tallos y desechando las primeras hojas.', '2\nPodemos pulir la base con el filo del cuchillo o con el dorso.', '3\nSeguidamente cortaremos la mitad superior de las alcachofas, para poder limpiarlas por dentro.', '4\nCon la cucharilla parisina, vaciaremos el interior de las alcachofas.', '5\nQuitaremos la pelusa del corazón, ya que resulta muy áspera al paladar.', '6\nDe este modo podremos rellenar los fondos una vez estos estén cocidos.', '7\nEl Chef os recomienda rellenar los fondos con huevos pochés o con cualquier otro plato que no sea muy fuerte.', '8\nY nunca utilizar queso para acompañar las alcachofas, ya que estos dos ingredientes no son compatibles entre sí.', '9\nGuardaremos las alcachofas en agua con zumo de limón, para que no se ennegrezcan.', '10\nJuntaremos en frío todos los ingredientes.', '11\nColocaremos los fondos de alcachofa boca abajo.', '12\nDaremos fuego fuerte hasta llevar el preparada a ebullición.', '13\nEn el momento de que se levante el hervor, bajaremos el fuego al mínimo para mantener una cocción más suave durante un periodo de tiempo de 30 minutos.', '14\nSabremos que las alcachofas se han glaseado cuando apenas nos quede líquido.', '15\nPor un lado escurriremos con mucho cuidado los fondos de alcachofa y por otro reservaremos el jugo de la cocción, que podemos utilizar para hacer un cordón a la hora de servir el plato.']",Valoración: 4 (5 votos),,,,,,,"['6 fondos de alcachofa', '300 gr. de agua mineral', '50 gr. de aceite de girasol', '3 gr. de sal', 'pimienta blanca molida', '5 gr. de azúcar', '5 gr. de zumo de limón']",https://www.recetasgratis.net/receta-de-alcachofas-glaseadas-56.html
Aguacate y menta,,"['1\nPoner en la licuadora hielo y todos los ingredientes.', '2\nLicuar hasta que el hielo se muela bien.', '3\nServir y adornar con hojas de hierbabuena.']","Valoración: 3,7 (7 votos)",,,,,,,"['½ taza de la lechera', '1 taza de leche entera', '1 ½ aguacate en puré', '1 caballito de licor de menta', 'Hojas de hierbabuena', 'Hielo']",https://www.recetasgratis.net/receta-de-aguacate-y-menta-4.html
Aguacate y plátano,,"['1\nPele los aguacates, deshuéselos y píquelos grueso.', '2\nPele el plátano y córtelo en pedazos.', '3\nPonga los pedazos de aguacate y plátano en la licuadora, con la miel, la vainilla, y la leche.', '4\nLicúe hasta obtener una preparación lisa y cremosa.', '5\nReparta el cocktail en 4 vasos grandes, rellene un poco de nuez moscada en la superficie de cada vaso y sirva.']","Valoración: 3,6 (19 votos)",,,,,,,"['1 aguacate grande', '1 plátano', '2 cucharadas cafeteras de miel líquida', '1 cucharada cafetera de extracto de vainilla', '75 centilitros de leche', 'Nuez moscada']",https://www.recetasgratis.net/receta-de-aguacate-y-platano-5.html
