title,intro,order,votes,comensales,duración,para,dificultad,coste,types,ingredientes,url
Mi gazpachuelo,,"['1\nEsta era una comida típica de los pescadores malagueños. En su confección primitiva el gazpachuelo se preparaba a base de aceite de oliva y yema de huevo batido.', '2\nTodo como una mayonesa que se diluía con caldo de pescado y se aliñaba con un poco de vinagre o bien, unas gotas de limón o de naranja amarga.', '3\nComo tropezones se usaba la clara del huevo, cocida y cortada en taquitos, unas rebanaditas de pan y unas patatas también cocidas y troceadas.', '4\nEste gazpacho se comía caliente y era más propio de los meses de invierno.', '5\nPreparar una mayonesa bien espesa.', '6\nPara preparar el caldo poner el pescado en una olla, cubrirlo bien con abundante agua y añadir la cebolla y el tomate cortados en gajos, el laurel, el vino y un chorrito de aceite.', '7\nPoner la cazuela al fuego y cuando comience a hervir dejarlo unos 20 minutos y retirar del fuego. Colar el caldo y reservar.', '8\nEn otra cazuela, poner las patatas, cortadas en rodajas no muy finas (½ centímetro) y cubrirlas con el caldo de pescado. Poner la cazuela al fuego y dejar cocer hasta que estén tiernas.', '9\nEntonces sacar las patatas, reservarlas y colar el caldo y reservarlo también.', '10\nPoner en el horno unas rebanaditas de pan, bien finas (3 a 4 por persona) y sacarlas cuando estén tostadas.', '11\nYa tenemos todos los ingredientes y entonces podemos preparar el plato. Poner la mayonesa en una sopera y añadir el caldo, poco a poco, moviéndolo todo muy bien con una cuchara de palo.', '12\nCuando la mayonesa esté bien disuelta, añadir las patatas, probar de sal y ya se puede servir.']","Valoración: 3,7 (12 votos)",,,,,,,"['Para el caldo', '1/2 kilo de pescados pequeños, para hacer caldo (*)', '2 hojas de laurel', '1 cebolla', '1 tomate', '1 copa de vino blanco', 'Sal', 'Para el Plato', '3/4 de kilo de patatas', '6 cucharadas soperas de mayonesa', '3-4 rebanadas de pan por persona']",https://www.recetasgratis.net/receta-de-mi-gazpachuelo-10062.html
Gazpacho andaluz sin pan,"Te presentamos esta receta de gazpacho sin pan, pues hemos comprobado que de esta forma podemos conservar el gazpacho tradicional andaluz más tiempo, ya que la levadura del mismo hace que en pocos días se produzca una cierta fermentación que deja el gazpacho agrio. Asimismo, no te pierdas esta receta de gazpacho fácil que te ofrecemos. Además, debes saber que el gazpacho tiene muchas variaciones, por ejemplo, se puede añadir o eliminar cualquier ingrediente que no guste. Por otro lado, se pueden incluir frutas para hacerlo refrescante y saludable.En RecetasGratis te enseñamos cómo hacer gazpacho andaluz sin pan. ¡A cocinar!","['1\nPara empezar con la receta de gazpacho andaluz sin pan, primero debes lavar las verduras. A continuación, pela los tomates y córtalos en trozos. Colócalos en un bol o en un robot de cocina para triturar todo.\nTruco: si te gusta puedes dejar la piel del tomate, ya que deberás triturar todo.', '2\nTrocea la cebolla, el pimiento verde, el pepino y el pimiento rojo. También pela los dientes de ajo.', '3\nEn el bol añade todas las verduras troceadas junto con los tomates.', '4\nYa están listos los ingredientes para triturarlos. Asimismo, para que sea más fácil añade un vaso de agua fría y tritura hasta que quede toda la mezcla sin grumos. Si tienes un robot de cocina puedes triturar todo, ya que quedará la crema más fina.\nTruco: según quede el gazpacho, podrás añadir más agua o no.', '5\nAñade el aceite, el vinagre y un poco de sal, sigue triturando y deja que se emulsione la crema. Prueba y rectifica según el gusto de sal y vinagre.\nTruco: si lo deseas, puedes añadir más pimiento verde o pepino.', '6\nIntroduce el gazpacho en la nevera hasta la hora de servir, es mejor hacerlo 2-3 horas antes para que a la hora de comer esté bien frío. Para acompañar el gazpacho si te gusta que tenga tropezones, puedes picar un pepino en trocitos, pimiento verde, cebolla y servir en otro bol para que cada comensal se prepare el plato a su gusto.']","Valoración: 4,4 (47 votos)",5 comensales,15m,Entrante,Dificultad baja,,"['Recomendada para perder peso', 'Recetas españolas', 'Recetas andaluzas']","['1 kilogramo de tomates rojos maduros', '1 pimientos verdes', '2 dientes de ajo', '1 pepino pequeño', '1 cebolla', '4 cucharadas soperas de vinagre de vino', '1 cucharada postre de sal', '50 mililitros de aceite de oliva', '1 trozo de pimiento rojo (opcional)']",https://www.recetasgratis.net/receta-de-gazpacho-andaluz-sin-pan-10060.html
Sarmorejo,,"['1\nSacar la miga del pan, remojarla en agua y cuando esté bien remojada, sacarla y exprimirla bien.', '2\nLa forma clásica de hacerlo es en mortero o dornillo (especie de mortero de madera) y en caso de querer hacerlo así, colocar en el mortero primero la sal, luego los ajos pelados.', '3\nIr majando con la maza para que los ajos se rompan bien, añadir después los tomates, cortados a tacos y seguir majando, añadir el pan y el vinagre.', '4\nSin dejar de majar ir añadiendo poco a poco el aceite hasta conseguir una buena mezcla, entonces pasarlo por el pasapurés (chino).', '5\nSi por el contrario optáis por la forma más moderna, poner en el vaso de la batidora el aceite, el pan, los tomates, los ajos pelados, el vinagre y la sal.', '6\nBatir durante unos minutos, hasta conseguir una mezcla homogénea. Pasar a través del pasapurés, para quitar las pieles y las pepitas del tomate.', '7\nAñadir agua muy fría hasta conseguir la textura deseada y rectificar de sal.']","Valoración: 3,3 (15 votos)",,,,,,,"['1 kilo de pan del día anterior', '1 vaso de aceite de oliva', '3/4 kilo de tomates maduros', '2 dientes de ajo', '1 copita de vinagre de vino', 'Sal al gusto']",https://www.recetasgratis.net/receta-de-sarmorejo-10058.html
Gazpacho andaluz y sevillano,,"['1\nSe ponen en una batidora todos los ingredientes y se baten bien hasta obtener una masa homogenea, luego si quieres lo pasas por un tamiz y se le pone un poco de agua (uno o dos vasos)', '2\nSe sirve muy frio. Se le puede poner de guarnicion trocitos de huevos duros y de jamon serrano.']","Valoración: 3,3 (15 votos)",,,,,,,"['1 kg de tomates rojos', '1 pimiento', '1 pepino', '1 diente de ajo', '1 cucharadita de sal', '1/2 vaso de aceite de oliva virgen', '2 cucharadas de vinagre', '50 gramos de pan']",https://www.recetasgratis.net/receta-de-gazpacho-andaluz-y-sevillano-9991.html
Crema permentier,,"['1\n1. Derrita la mantequilla en una cacerola y sancoche en ella las papas y el poro. Agregueles 5 tazas de agua,el consome y la pimienta,y deje que se cuezan hasta que las papas esten casi deshechas.', '2\n2. Ponga en baÑo maria la sopera donde va a servir la crema.Cuele a la sopera todo lo que ha cocido.', '3\n3. Deje la sopa en el baÑo maria hasta el momento de llevarla a la mesa,cuando debera aÑadirle la crema y servirla acompaÑada de los cuadritos de pan.']","Valoración: 3,3 (15 votos)",,,,,,,"['3 papas blancas grandes peladas y cortadas en trozos', '1 poro mediano,cortado en rodajas', '1/2 barrita de mantequilla', 'Una pizca de pimienta blanco molida', '2 cucharaditas de consome de pollo granulado', '1/4 litro de crema espesa', '3 rebanadas de pan de caja descortezadas y cortadas en cuadritos, tostados o fritos']",https://www.recetasgratis.net/receta-de-crema-permentier-9961.html
Sopa de espinacas y champiÑones,,"['1\nPonga a cocer en la olla de presion,durante 20 minutos,las rabadillas,el tocino,la cebolla,el ajo y el cilantro con 6 tazas de agua y sal.', '2\nEn una cacerola derrita la mantequilla y sancoche en ella,a fuego muy bajo, los champiÑones y las espinacas.', '3\nAl cabo de los 20minutos enfrie la olla de presion bajo el chorro del aua friaabrala y cuele el caldo a la cacerola donde estan los champiÑones y las espinacas Suba un poco la llama y deje que la sopa se cueza unos 5 minutos ams,para que se sazone. Mantengala caliente.']",Valoración: 2 (50 votos),,,,,,,"['2 rabadillas de pollo', '2 rebanadas de tocino', '1/2 cebolla1 diente de ajo', '1 ramo de cilantro', '2 cucharadas de mantequilla', '2 manojos de espinacas, lavadas,sin tallos y cortados en trozos grandes', '1/4 kg de champiÑones', 'Sal']",https://www.recetasgratis.net/receta-de-sopa-de-espinacas-y-champinones-9938.html
Sopa de frijoles blancos,,"['1\nCocer los frijoles en agua caliente. Sofreír la costilla en una olla. Al ablandar los frijoles (no demasiado) añadir la costilla. Aproximadamente una hora después que inició el cocimiento.', '2\nSacar una taza de frijoles y licuar junto con el apio, el ajo, la cebolla y el cile vere. Añadir a la sopa lo licuado. Añadir la pasta de tomate y la ketchup y los cubitos de pollo.']","Valoración: 3,9 (31 votos)",,,,,,,"['agua', '1 lb de frijoles blancos', '1 lb de costilla ahumada', '3 tallos de apio', '6 dientes de ajo', '1 manojo de cilantro', '1 cebolla', '½ chile verde', '1 lata de pasta de tomate', '1 chorro de ketchup', '3 cubitos de consomé de pollo']",https://www.recetasgratis.net/receta-de-sopa-de-frijoles-blancos-9827.html
Caldo a la jardinera,,"['1\nPica el perejil y el tocino, rebana las zanahorias, jitomates, cebolla.Acitrona el tocino con la cebolla y mantequilla añade las zanahorias y cocina por 5 min.', '2\nAgrega el caldo y deja hervir e incorpora las verduras que hierva por 30 min, luego incorpora los macarrones y cuece 15 min mas y sirbe con queso rallado.']",Valoración: 4 (4 votos),,,,,,,"['6 tazas de caldo de pollo', '25 grs mantequilla', '1/2 taza de macarrones cortados', '1/2 taza de queso blanco rallado', '2 cuch de perejil', '3 ejotes', '3 zanahorias', '2 cebollas', '2 dientes de ajo', '1 reb tocino', 'Sal', 'Pimienta al gusto']",https://www.recetasgratis.net/receta-de-caldo-a-la-jardinera-9649.html
Sopa de coditos al horno,,"['1\nLa pasta se cocina con todos los ingredientes que están entre (-), ya que esta cocinada se escurre ( no se lava).', '2\nSe licuan todos los ingredientes restantes, está mezcla se agrega a la sopa.', '3\nEngrace un molde con mantequilla y ponga un poco de pan molido agregue la mezcla que se hizo de sopa y crema.', '4\nHornee por 30 min o hasta que vea que dore un poco.']","Valoración: 3,6 (15 votos)",,,,,,,"['1 Paquete de sopa de coditos', '4 Huevos', '250g. Queso Cotija (semi-seco)', '500g. Crema Natural', '2 Chiles jalapeños en escabeche', 'Sal', 'Pimienta', 'sal', 'trozo cebolla', 'pimienta entera', '1 ajo', '4 hojas de laurel', '5 cucharadas soperas de aceite', '1 litro de agua']",https://www.recetasgratis.net/receta-de-sopa-de-coditos-al-horno-9562.html
Consome de ternera,,"['1\nRetire el exceso de grasa de la carne y cortela muy pequeña o pasela por la picadora.', '2\nTrocee las zanahorias,el apio y los puerros, pongalos en una cacerola grande con el tomate,la carne y las claras de huevo y mezclelos bien.', '3\nCaliente el caldo hasta que este tibio y salpimentelo al gusto,añada poco a poco el caldo a la carne y a las verduras sin dejar de remover a fuego moderado.', '4\nContinue removiendo durante unos 10 minutos, hasta que la mezcla empiece a hervir lentamente.', '5\nReduzca el fuego,a continuacion haga un agujero en la capa de la grasa que flota en la superficie del caldo con una cuchara grande.dejelo hervir a fuego lento destapado durante 35 minutos y no remueva.', '6\nColoque un paño humedo en la boca de un colador grande cuele el liquido y paselo a una olla limpia ,pruebe el consome y añada mas sal al gusto.', '7\nRecalientelo y sirvalo decorado con tiras muy finas de zanahoria y puerro.']","Valoración: 3,3 (14 votos)",,,,,,,"['350 gramos de ternera', '2 zanahorias medianas', '2 tallos de apio', '2 puerros pequeños', '2 tomates medianos', '3 claras de huevo', '1 1/2 litro de caldo de ternera', 'Sal', 'Pimienta', '1 zanahoria mediana adicional cortada en tiritas', 'muy finas', '1 puerro pequeño adicional en tiritas muy finas']",https://www.recetasgratis.net/receta-de-consome-de-ternera-9343.html
Sopa caribeña,,"['1\nFríe el poro y el ajo en aceite caliente,añade 2 1/2 litros de agua y cuece los demás ingredientes,excepto los frijoles y el jitomate, Sazona con el consomé.', '2\nCuando todo esté cocido y todavia hirvirndo,añade el jitomate y los frijoles.', '3\nSirve caliente con salsa tabasco al gusto.']",Valoración: 2 (10 votos),,,,,,,"['1 poro cortado en rebanadas', '1 diente de ajo martajado', '2 cucharadas de aceite', '2 1/2 litros de agua', '1/2 taza de granos de elote', '1 rama de perejil', '2 clavos de olor', '3 pimientas gordas', '1 hoja de laurel', '1/2 taza de arroz de grano largo', '2 tazas de frijoles negros cocidos y escurridos', '1/2 taza de jitomate pelado y picado,sin semillas', '4 cucharadas de consomé de verduras en polvo', 'Salsa tabasco al gusto']",https://www.recetasgratis.net/receta-de-sopa-caribena-9240.html
Chupín de camarones,,"['1\nPreviamente se pelan los camarones y se ponen a sancochar las conchas para hacer un consomé.', '2\nEste consomé se cuela y se desechan las conchas manteniendo el consomé en fuego lento.', '3\nMientras tanto, se pelan las papas y se cortan en daditos de aproximadamente 1 cm.', '4\nEstos se añaden al consomé junto con la tasa de arroz y el maiz en granos aumentando el fuego.', '5\nAparte, se licuan la cebolla, el pimentón, los ajos, el cebollín, el cilantro, el perejil y el ajoporro.', '6\nEsta salsa se sofrie en el aceite; y a éste sofrito le vamos a agregar los camarones pelados.', '7\nUna vez sofritos los camarones y verificando que las papas y el arroz estén blandos, le vamos a agregar los camarones al consomé, la cucharadita de comino, las hojitas de laurel y la sal y la pimienta al gusto.', '8\nPor otro lado, se pone a calentar la leche y cuando ésta esté hirviendo se la agregamos a la sopa enseguida, bajando el fuego a fuego lento y la dejamos cocinar por 5 minutos más antes de retirarlo del fuego.', '9\nPara servirlo, se colocan daditos de queso blanco duro de aproximadamente 1 cm en el fondo de un plato hondo y encima se sirve el Chupín de Camarones bien caliente.']","Valoración: 3,7 (16 votos)",5 comensales,45m,Plato principal,Dificultad media,,[],"['1 kilogramo de Camarones', '3 unidades de Patata grande', '1 taza de Arroz', '1 unidad de Pimiento rojo', '1 unidad de Cebolla', '3 dientes de Ajo', '500 gramos de Maíz en grano', '½ manojo de Cilantro', '½ manojo de Perejil', '1 rama de Cebollín', '½ unidad de Ajoporro', '2 cucharadas soperas de Aceite', '1 litro de Leche', '1 cucharadita de Comino', '3 hojas de Laurel', '½ kilogramo de Queso blanco duro', '1 pizca de Sal', '1 pizca de Pimienta']",https://www.recetasgratis.net/receta-de-chupin-de-camarones-9162.html
Caldo de alubias con longaniza,,"['1\nEn un recipiente cueza las alubias con el ajo y la cebolla hasta que suavicen.', '2\nAgregue las acelgas y el concentrado de tomate y continúe cocinando hasta que esté cocido todo.', '3\nAñada la longaniza y deje hervir 5 minutos más.sirva caliente.']","Valoración: 3,8 (6 votos)",,,,,,,"['1/4 de kilo de alubias remojadas desde la víspera', '21/2 litros de agua', '1/4 de acelgas limpias y picadas', '2 cubos de concentrado de tomate con pollo', '250 g de longaniza rebanada', 'Ajo', 'Cebolla']",https://www.recetasgratis.net/receta-de-caldo-de-alubias-con-longaniza-9066.html
Sopa de haba verde,,"['1\nEn el aceite de oliva se frien el ajo, la cebolla y el chile enteros, se agregan los jitomates que se dejan cocer solo unos minutos.', '2\nEntonces se añaden las habas y el caldo hirviendo que se dejan en la lumbre hasta que se cuezan al final la sopa se espolvorea con el silantro picado.']","Valoración: 3,4 (5 votos)",,,,,,,"['1/4 de taza de aceite de oliva', '1 diente de ajo picado', '1/2 cebolla picada', '1 chile de arbol sin semilla', '3 jitomates pelados en agua hirviendo y cortados en cubos', '250 gramos de habas verdes peladas', '2 litros de caldo de pollo', '1 manojo de cilantro picado']",https://www.recetasgratis.net/receta-de-sopa-de-haba-verde-9045.html
