uuid,title,ingredients,steps
d6844105-a79a-420f-8d56-6d273a3dfbc6,Buchteln,400 gr. de harina 25 gr. de levadura 40 gr. de azúcar 120-140 ml de leche 2 cucharadas de mantequilla 2 huevos 1 cdta. de esencia de vainilla 1 pizca de sal 1 cda. de ron Mermelada  ," Buchteln  Mezclar la levadura y el azúcar con leche caliente. Dejar crecer esta masa cubierta durante 20 minutos en un lugar cálido.  Cernir la harina en forma de corona, en la mesa de trabajo, agregar en el centro la mantequilla derretida junto con los huevos, la esencia de vainilla, la sal y el ron. Batir estos ingredientes y agregar la masa leudada.  Unir todo amasar hasta que se formen burbujas. Dejar crecer durante 20 minutos.  Estirar la masa de un espesor no demasiado fino, cortar en círculos, poner un oco de mermelada y doblarlos, cerrándolos muy bien.  Pincelar los bollitos de masa con mantequilla derretida y acomodarlosr con la parte cerrada hacia abajo, un poco separados, uno al lado del otro, en una fuente de horno enharinada. Cubrir con un paño de cocina y dejar que levar durante otros 15 minutos en un ambiente cálido.  Calentar el horno a 180° C y hornear durante unos 30 minutos, los Buchteln. Una vez cocidos, dejar enfriar ligeramente; a continuación, acomodarlos en una fuente y servirlos, aún en caliente (posiblemente con salsa de vainilla).  Nota: Si la receta no es para niños, se puede e agregar un poco de ron a la mermelada."
0864b3ee-6c95-4c82-9b08-cc1c551d07a2,Carne a la alemana,750 gr. de peceto Mantequilla o margarina 1/4 litro de vinagre 1/2 litro de agua Sal 2 cebollas en rodajas 5 gr. de pimienta 1 clavo de olor 1 hoja de laurel 1 zanahoria cortada en rodajas 1 cdta. de extracto de carne 1 cda. de harina Sal Pimienta Azúcar Leche  ," Carne a la alemana  Poner la carne en un recipiente hondo.  Mezclar el vinagre con el agua, la sal, la cebolla, pimienta, clavo, laurel y zanahoria y verter sobre la carne. Tapar el recipiente y dejar en un lugar fresco durante unas horas moviendo de tanto en tanto.  Escurrir la carne y saltearla en un poco de mantequilla. Tamizar el escabeche y cubrir con ello la carne. Cocinar durante 90 minutos rociando de cuando en cuando con su jugo.  Disolver la harina con un poquito de leche y agregarle el extracto de carne. Verter en la cacerola para espesar la salsa.  Retirar la carne, cortar en rebanadas y bañar con la salsa. Servir con papas hervidas y perejil."
8b6054d4-e257-454c-a303-3e9c0375a04d,Kugelhupf glaseado al café,Para cubrir : 3 cucharadas de agua 10 gr. de mantequilla 1 cda. de café soluble 200 g de azúcar glass Almendras picadas para espolvorear  400 gr. de harina 25 gr. de levadura Leche 75 gr. de mantequilla 3 yemas de huevo 100 gr. de azúcar 100 gr. de pasas 1 limón 100 cc de ron Sal Mantequilla para el molde Harina para el molde  ," Kugelhupf glaseado al café  En un bol mezclar el ron con una cantidad igual de agua, añadir media cucharadita de azúcar, revolver y poner a remojar las pasas.  Lavar y secar el limón; rallar la cáscara.  Desmenuzar la levadura y en dos cucharadas de leche caliente; mezclarle cuatro cucharadas de harina y dejar levar el bollito, en un lugar cálido durante 1 hora.  En una cacerolita derretir la mantequilla a baño María y agregar las yemas de huevo, una a la vez; agregar el azúcar restante y la ralladura de limón.  Mezclar bien y añadir la mezcla de levadura a la masa, agregar una pizca de sal. Trabajar juntos hasta obtener una masa de consistencia suave; por último agregar las pasas bien escurridas.  Engrasar ligeramente y enharinar un molde para Kugelhupf (o molde normal en forma de cúpula) y verter la mezcla, que debe llegar sólo hasta la mitad de su altura; dejar crecer de nuevo hasta que la mezcla alcance el borde del molde.  Calentar el horno a 180° C y, cuando el pastel haya levado, hornear, durante aproximadamente 1 hora; desmoldar en una fuente y dejar enfriar.  Para el glaseado mezclar todos los ingredientes en un cazo y calentar al baño maría o a fuego muy lento, sin dejar de remover, hasta que se integre y quede una mezcla brillante.  Inmediatamente después, echar sobre el Kugelhupf, ya que al enfriarse se solidifica. Espolvorear con almendras picadas. Dejar secar el glaseado antes de servir."
f2be3801-9661-40ff-8b76-170176019214,Berliner Brot,250 gr. de harina 250 gr. de avellanas sin cáscara y peladas 200 gr. de mantequilla 200 gr. de azúcar moreno 125 gr. de chocolate negro 2 huevos 1 cda. de polvo para hornear Canela en polvo Clavo en polvo Leche Sal  ," Berliner Brot  Derretir el chocolate a baño maría, revolviendo constantemente.  Trabajar la mantequilla con el azúcar, hasta que esta última se disuelva; añadir la harina, el chocolate derretido, los huevos, el polvo de hornear, 1 cucharadita de canela, 1 cucharadita de clavo de olor y una pizca de sal. Revolver hasta que la mezcla esté suave, incorporando las avellanas.  Estirar la masa sobre una placa forrada con papel pergamino de un espesor de aproximadamente 1 cm.  Pincelar la superficie de la leche y hornear a 180° C durante 20-25 minutos.  Retirar del horno, dejar enfriar y cortar el pastel en cuadrados antes de servir."
88d8a0a3-7ed2-4016-8e6d-ae6e2b878fa8,Eiskaffee,1 bola de helado de vainilla de buena calidad 1 taza grande de café 1 taza de nata batida endulzada Cacao en polvo  ," Eiskaffee  Poner el helado en un vaso de vidrio alto.  Añadir el café, llenando el vaso hasta la mitad o 3/4 de su capacidad, según el tamaño.  Completar el vaso con crema batida endulzada.  Espolvorear con cacao en polvo o canela."
7af1c397-710e-44b4-a414-b45a4e51c2ac,Postre del Kaiser,125 gr. de harina 1/4 de litro de leche 2 huevos 2 cucharadas de azúcar 50 gr. de mantequilla Frutas en almíbar o mermeladas  ," Postre del Kaiser  Mezcle la harina con el azúcar, las yemas y la leche hasta tener una masa homogénea; bata las claras a nieve, con una pizca de sal y añádalas suavemente a la masa anterior.  Caliente la mantequilla en una asadera y eche la masa, que no alcance más de 2 o 3 centímetros de grosor.  Cueza a horno caliente hasta que se dore apenas en la superficie; entonces con un cuchillo y un tenedor corte la masa en trocitos irregulares y hornee unos minutos más para secarlos.  Sirva caliente con azúcar impalpable por encima y frutas en almíbar, o una mermelada, preferentemente de grosellas o frutillas."
ea1bddf1-552f-451c-91a1-8ec6662f4613,Lomo de cerdo a la germana,1 trozo de carré de 6 a 8 costillas 1 kg. de manzanas ácidas 2 coles verdes 1/2 kg. de cebollas 2 vasos de vino blanco 100 gr. de mantequilla 4 cucharadas de azúcar morena Sal Pimienta Salvia  ," Lomo de cerdo a la germana  Salpimiente el costillar y cuézalo a horno de calor mediano durante 90 minutos o un poco más, con dos hojas de laurel, dos ramitas de salvia y una brizna de tomillo.  Mientras tanto corte las coles en cuartos y lávelas en agua con vinagre; retire el tronco y las nervaduras gruesas y hiérvalas durante 10 minutos en agua salada.  Pele las manzanas y las cebollas y píquelas; caliente la mantequilla en una cacerola, agregue las coles escurridas, las manzanas y cebollas picadas, el azúcar, sal, pimienta recién molida y hierbas.  Moje con el vino, tape y cueza suavemente durante 1 y 1/2 horas.  Sirva el carré bien dorado, con la compota de col bien caliente."
d53458f6-ac3d-4566-bd6c-8f2b682ee6cf,Strudel de nueces,Para el relleno : 2 huevos chicos 1 yema 100 gr. de azúcar glas 1/2 cdta. de canela Cáscara rallada de un 1 limón 3 tostadas dulces 150 gr. de mantequilla 1 cda. de coñac Azúcar glas para espolvorear  Para la masa : 300 gr. de harina Pizca de azúcar y de sal 2 cucharadas de aceite 1 huevo chico  ," Strudel de nueces  Poner en un bol la harina, sal, azúcar, una cda. de aceite y el huevo agregar media taza de agua y amasar hasta formar un bollo liso. Pintarlo con aceite y dejarlo reposar en el bol, tapado, durante media hora.  Aparte batir los huevos, con la yema, azúcar glas, canela y ralladura de cáscara de limón, más el coñac.  Picar las nueces y agregarlas también.  Espolvorear con harina un repasador de 40 x 30 cm y estirar la masa encima, espolvoreando varias veces con harina. Luego introducir las manos entre la masa y el repasador y estirarla de todos lados hasta hacer un rectángulo de 60 x 40 cm.  Pintar la masa con mantequilla derretida y esparcir por encima las tostadas ralladas.  Extender la preparación de nueces, dejando un borde libre, alisarlo y arrollar la masa ayudándose con el repasador.  Colocar el strudel en una chapa de horno, apretar las puntas y pintar con mantequilla; la unión de la masa debe quedar hacia ahajo.  Cocinarlo en horno caliente durante 30 minutos, pintarlo con mantequilla y espolvorearlo con azúcar glas.  Servirlo caliente, con una crema de vainilla caliente.  Para la salsa de vainilla, batir media taza de leche con 50 gr. de azúcar, 4 yemas y una cda. de mantequilla.  Hacer hervir una taza y tres cuartos de leche con la vainilla y una pizca de sal; retirar la vainilla y agregar el batido de yemas batiendo fuera del fuego.  Volver al calor y seguir batiendo hasta espesar la crema ligeramente: debe quedar una salsa más que una crema."
992f7df3-e2e1-4ca7-987c-8fa547c012b4,Chucrut garnie,1 litro de caldo de carne 4 cebollas 2 hojas de laurel 400 gr. de falda de vaca 50 gr. de margarina 1 pata de cerdo de 750 gr. 1 kg. de chucrut 1 manzana 10 bayas de enebro 1 kg. de costillas de cerdo ahumadas 250 gr. de panceta magra 4 salchichas de Viena  ," Chucrut garnie  Hacer hervir el caldo con dos cebollas peladas y las hojas de laurel. Agregar el trozo de falda y cocinarla durante una hora o más, hasta que la carne esté tierna.  Calentar la margarina en una cacerola y rehogar en ella las otras dos cebollas picadas, hasta que se hagan transparentes. Agregar el chucrut bien separado y la manzana pelada y cortada en rodajas. Mezclar y cocinar unos minutos.  Añadir las bayas de enebro y un cuarto de litro del caldo, las costillitas ahumadas, la pata de cerdo previamente blanqueada por un rápido hervor en agua salada y la panceta en un trozo. Tapar y cocinar a fuego moderado, durante 40 minutos.  Agregar las salchichas en los últimos minutos. Para servir se corta la carne y el costillar en tajadas, así como la falda y la panceta ahumada y se acomodan sobre el chucrut, en una fuente caliente."
4979e166-7bb1-4fed-9da7-175f3b2915df,Ensalada de col blanca," 1 col blanca grande, picada  4 zanahorias medianas, ralladas  1/2  1 pote de queso cottage  Aceite y  Sal y 1 col blanca grande, picada 4 zanahorias medianas, ralladas 1/2 cebolla , picada 1 pote de queso cottage Aceite y vinagre Sal y pimienta  ", Ensalada de col blanca Cortar la col en cuartos y luego en tiras muy finas. Acomodar en un escurridor y lavar muy bien bajo el chorro de agua fría.    Pelar y rallar las zanahorias. Cortar también la cebolla en tiras finas (pluma).    Mezclar la col con las zanahorias y cebolla. Aderezar con aceite y vinagre y condimentar a gusto con sal y pimienta. Llevar a la heladera y enfriar bien.    Antes de servir agregar el queso cottage por encima.
ac5dccd6-5bb0-4808-8531-a85f8b1c381a,Pepinos a la Frankfurt," 1,5 kg. de pepinos gruesos  250 gr. de zanahorias  250 gr. de cebollas  60 gr. de  1/2 taza de caldo  1 cda. de  Sal  Pimienta para moler  4 chorizos alemanes  Cebollino o 1,5 kg. de pepinos gruesos 250 gr. de zanahorias 250 gr. de cebollas 60 gr. de mantequilla 1/2 taza de caldo 1 cda. de mostaza Sal Pimienta para moler 4 chorizos alemanes Cebollino o perejil  "," Pepinos a la Frankfurt Lavar los pepinos, pelarlos y dividirlos por la mitad a lo largo. Retirar la parte central con las semillas, con una cuchara, luego cortar las mitades en rebanadas.    Lavar las zanahorias, rasparlas y cortarlas en rodajas finas. Pelar y cortar en rodajas finas las cebollas.    Calentar 40 gr. de mantequilla en una cacerola, freír en ella la cebolla, y cuando esté dorada apenas agregar la zanahoria, mezclar y rehogar hasta que se ablande un poco.    Añadir el pepino y cocinar todo junto a fuego fuerte, mezclando. Bajar la llama y echar el caldo, sal, pimienta recién molida y la mostaza, tapar y cocinar suavemente durante 15 minutos.    Mientras tanto hervir los chorizos alemanes, escurrirlos y cortarlos en rodadas. Agregarlos a las verduras o servirlos enteros con la verdura como guarnición y cebollino o perejil picado por encima."
5c2056cd-6977-495d-91fc-f64112b45d5f,Manzanas rellenas calientes," 12  1/2 repollo colorado  1/2 vaso de vino blanco  2 cucharadasde pasas de uva  2 cucharadasde vinagre  1 cda de azúcar  Sal  Pimienta  2 cucharadasde panceta picada y frita  1 12 manzanas ácidas 1/2 repollo colorado 1/2 vaso de vino blanco 2 cucharadasde pasas de uva 2 cucharadasde vinagre 1 cda de azúcar Sal Pimienta 2 cucharadasde panceta picada y frita cebolla chica, picada  "," Manzanas rellenas calientes Lavar las manzanas quitarles una tapa y ahuecarlas lo más posible. Picar lo que se extrajo.    Picar muy finamente el repollo colorado, mezclarlo con la cebolla, las pasas de uva picadas y lo que se extrajo de las manzanas.    Poner todo en una cacerola y agregar el vino, el vinagre, sal, pimienta, azúcar y cocinar hasta que todo esté bien cocido y el repollo se haya reducido.    Mezclarlo con la panceta picada, rellenar las manzanas, acomodarlas en bolsas especiales para horno y cocinarlas hasta que se note que la piel de la manzana esté cocida.    Retirar, dejar entibiar, cubrir con el jugo que se formó en el fondo y servir como guarnición de carnes de cerdo o aves.    Para congelar: retirar del horno, abrir la bolsa, dejar enfriar, envolver y guardar.  Para descongelar: retirar del frío, dejar descongelar, acomodar en placas y recalentar."
6c8efde7-1789-49ef-8c7c-60bc40e4c794,Costillitas de cerdo con manzanas, 6 costillitas de  50 gr. de  Sal  Pimienta  3  3 cucharadas de azúcar  1/2 vaso de vino blanco seco 6 costillitas de cerdo algo gruesas 50 gr. de mantequilla Sal Pimienta manzanas ácidas 3 cucharadas de azúcar 1/2 vaso de vino blanco seco  ," Costillitas de cerdo con manzanas Derretir la mantequilla en una sartén y cocinar las costillitas hasta que estén doradas de ambos lados. Sazonar a media cocción con sal y pimienta.    Poner luego en una fuente de horno enmantequillada, sin encimarlas.    Pelar las manzanas, retirarles las semillas y cortar en rodajas finas.    Cubrir las costillitas con las tajadas de manzana; espolvorear con azúcar y rociar con el vino. Llevar la fuente al horno a temperatura moderada, hasta que las costillitas estén cocidas y el vino se haya prácticamente evaporado."
f1b1e814-8383-4e53-9876-a680814c3d79,Chucrut rápido con salchichas, 1 col blanca de 1 y 1/2 kg. aproximadamente  2 cebollas grandes  1  1/2 taza de aceite  3 cucharadas de  Sal  Pimienta  2 hojas de laurel  6 salchichas de Viena 1 col blanca de 1 y 1/2 kg. aproximadamente 2 cebollas grandes zanahoria chica 1/2 taza de aceite 3 cucharadas de vinagre blanco Sal Pimienta 2 hojas de laurel 6 salchichas de Viena  ," Chucrut rápido con salchichas Lavar la col y cortar en tiritas finas. Cortar las cebollas del mismo modo y la zanahoria en rodajas.    Poner el aceite en una cazuela de barro o en una cacerola grande y llevar al fuego. Cuando el aceite esté caliente agregar la cebolla y la zanahoria, reducir el calor y cocinar hasta que la cebolla esté suavemente dorada.    Añadir la col, sazonar con sal y pimienta y bañar con el vinagre; agregar las hojas de laurel y tapar bien el recipiente. Cocinar lentamente, revolviendo a intervalos hasta que suelte líquido y esté bien cocida.    Poner las salchichas cortadas en rodajas gruesas o en trozos y continuar la cocción hasta que el líquido se reduzca casi por completo."
4d61cf95-955a-4923-8916-fc3d64f21589,Guiso de frijoles, 1/2 kg. de frijoles blancos secos  1 kg. de matambre de  1/2 lt. de caldo de carne  750 gr. de zanahoria  150 gr. de nabo  Sal  Pimienta  2 cdtas. de  1 rama de apio  1/2 kg. de puerro  125 gr. de panceta gorda  1/4 kg. de cebolla  1/2 cdta. de  1 ramito de 1/2 kg. de frijoles blancos secos 1 kg. de matambre de cerdo 1/2 lt. de caldo de carne 750 gr. de zanahoria 150 gr. de nabo Sal Pimienta 2 cdtas. de tomillo 1 rama de apio 1/2 kg. de puerro 125 gr. de panceta gorda 1/4 kg. de cebolla 1/2 cdta. de orégano 1 ramito de perejil  ," Guiso de frijoles Poner a remojar los frijoles en 2 lt.s de agua fría, durante toda la noche. Hacerlos hervir luego suavemente durante una hora mas, con Ia cacerola tapada, hasta que estén listos pero no se deshagan.    Quitar mientras tanto la grasa de la carne y cortarla en trozos medianos.    Calentar una sartén y dorar los trozos de carne, sin agregar nada de grasa. Mojar con caldo y disolver el fondo de cocción, revolviendo con la cuchara de madera. Cocinar durante media hora y añadir a la cacerola con los frijoles, para seguir cocinando todo junto.    Cortar las zanahorias en rodajas gruesas, el nabo en bastones y el apio, con sus hojas picarlo.    A la hora y media de cocción contando el tiempo de los frijoles, incorporar las verduras y cocinar durante 15 minutos. En ese momento agregar los puerros en aros de un centimetro, sal; pimienta, 2 pizcas de azúcar y el tomillo.    Dorar la panceta picada en una sartén, agregar la cebolla picada y hacerla dorar mucho, luego añadir en la olla y apagar el fuego.    Lavar el perejil y picarlo, echarlo en el guiso y cocinar 10 minutos más."
1f280dc7-8a10-46d9-9d34-c1bc37afc7fe,Apfel Kuchen, 100 gr. de  1 taza de azúcar  2 huevos  1 y 1/2 tazas de harina  2 manzanas  1 cdta. de polvo de hornear  1/4 de cdta. de sal  1 /2 taza de leche    Para cubrir:  6 cucharadas de harina  1/4 de taza de  2 cucharadas de mantequilla  1/4 de cdta. de polvo de hornear  1/4 de cdta. de 100 gr. de mantequilla 1 taza de azúcar 2 huevos 1 y 1/2 tazas de harina 2 manzanas 1 cdta. de polvo de hornear 1/4 de cdta. de sal 1 /2 taza de leche 6 cucharadas de harina 1/4 de taza de azúcar morena 2 cucharadas de mantequilla 1/4 de cdta. de polvo de hornear 1/4 de cdta. de canela  ," Apfel Kuchen Trabajar la mantequilla con el azúcar hasta que esta se disuelva. Agregar las yemas, batiendo después de cada agregado.    Incorporar la mezcla de harinal, sal y polvo de hornear cernidos, alternando con la leche.    Batir las claras a nieve y añadirlas suavemente a la preparación. Echar la masa en una asadera cuadrada de 20 centimetros de lado. Cubrir con rodajas finas de manzana.    Mezclar los ingredientes de la cubierta con las puntas de los dedos, para hacer una masa granulosa. Esparcirla sobre la manzana.    Cocinar a horno moderado durante 40 a 50 minutes. Dejar entibiar y cortar en cuadrados."
0bf9419a-c43f-45b8-b58e-310dbc2be953,Conejo a la cerveza negra, 1  100 gr. de panceta ahumada cortada en dados  1  negra  1 cda. de azúcar  Harina  Sal  Pimienta conejo entero y limpio 100 gr. de panceta ahumada cortada en dados cebolla cortada en trozos Cerveza negra 1 cda. de azúcar Harina Sal  ," Conejo a la cerveza negra Ponga los dados de panceta en una cacerola. Saltéelos 5 minutos. Añada el conejo y dórelo.    Agregue la cebolla. Cubra con cerveza negra, sal y pimienta. Cuando esté cocido agregue el azúcar.    Ligue la salsa con un poco de harina diluida en agua. Sirva con compota de manzanas o de ciruelas secas."
97d4c0de-beba-44b3-9986-c97cc0a2240e,Cazuela de ternera a la cerveza,  2 cebollas medianas  4 tallos de apio  2 zanahorias  1 kg. de carne de paleta o nalga  2 cucharadas de harina  Sal  Pimienta  Tomillo  Laurel  a gusto  1/2 lt. de cerveza  1 pocillo de aceite 2 cebollas medianas 4 tallos de apio 2 zanahorias 1 kg. de carne de paleta o nalga 2 cucharadas de harina Sal Pimienta Tomillo Laurel Orégano a gusto 1/2 lt. de cerveza  ," Cazuela de ternera a la cerveza    Rehogar en el aceite las verduras finamente picadas. Retirar. En ese mismo fondo rehogar la carne cortada en cubos, espolvoreando luego con la harina. Revolver bien.    Incorporar la cerveza, las verduras y las hierbas. Condimentar. Cocinar tapado y a fuego lento, hasta que todo esté tierno.    Servir bien caliente, acompañado con las verduras y, si se desea, papas al natural."
